ap118_ashtpahud_1970_71.mp3 - ['090', '05 Bhav Pahud', '59-62', 'Guj', None, None]
ap119a_ashtpahud_1970_71.mp3 - ['091', '05 Bhav Pahud', '64-67', 'Guj', None, None]
ap119b_ashtpahud_1970_71.mp3 - ['092', '05 Bhav Pahud', '64-67', 'Guj', None, None]
ap120_ashtpahud_1970_71.mp3 - ['093', '05 Bhav Pahud', '66-69', 'Guj', None, None]
ap121_ashtpahud_1970_71.mp3 - ['094', '05 Bhav Pahud', '69-72', 'Guj', None, None]
ap122_ashtpahud_1970_71.mp3 - ['095', '05 Bhav Pahud', '73-77', 'Guj', None, None]
ap123_ashtpahud_1970_71.mp3 - ['096', '05 Bhav Pahud', '78-79', 'Guj', None, None]
ap124_ashtpahud_1970_71.mp3 - ['097', '05 Bhav Pahud', '79-82', 'Hin', None, None]
ap125_ashtpahud_1970_71.mp3 - ['098', '05 Bhav Pahud', '83-86', 'Guj', None, None]
ap126_ashtpahud_1970_71.mp3 - ['099', '05 Bhav Pahud', '86-87', 'Guj', None, None]
ap127_ashtpahud_1970_71.mp3 - ['100', '05 Bhav Pahud', '88-89', 'Guj', None, None]
ap128_ashtpahud_1970_71.mp3 - ['101', '05 Bhav Pahud', '90-92', 'Guj', None, None]
ap129_ashtpahud_1970_71.mp3 - ['102', '05 Bhav Pahud', '93-94', 'Guj', None, None]
ap130a_ashtpahud_1970_71.mp3 - ['103', '05 Bhav Pahud', '97', 'Hin', None, None]
ap130b_ashtpahud_1970_71.mp3 - ['104', '05 Bhav Pahud', '97', 'Hin', None, None]
ap130c_ashtpahud_1970_71.mp3 - ['105', '05 Bhav Pahud', '97', 'Hin', None, None]
ap131_ashtpahud_1970_71.mp3 - ['106', '05 Bhav Pahud', '98-101', 'Guj', None, None]
ap133_ashtpahud_1970_71.mp3 - ['108', '05 Bhav Pahud', '106-107', 'Guj', None, None]
ap134_ashtpahud_1970_71.mp3 - ['109', '05 Bhav Pahud', '108-109', 'Guj', None, None]
ap135_ashtpahud_1970_71.mp3 - ['110', '05 Bhav Pahud', '110-112', 'Guj', None, None]
ap136_ashtpahud_1970_71.mp3 - ['111', '05 Bhav Pahud', '112-114', 'Guj', None, None]
ap137_ashtpahud_1970_71.mp3 - ['112', '05 Bhav Pahud', '114', 'Hin', None, None]
ap138_ashtpahud_1970_71.mp3 - ['113', '05 Bhav Pahud', '114', 'Hin', None, None]
ap139_ashtpahud_1970_71.mp3 - ['114', '05 Bhav Pahud', '114-117', 'Guj', None, None]
