द्रव्य,dravya
सम्यक्त्वमार्गणा,samyaktvamargana
संज्ञी,sangyi
संज्ञीमार्गणा,sangyimargana
आहार,ahar
आहारमार्गणा,aharamargana
अनाहारक,anaharak
कौनसा,kounsa
गतियों,gatiyon
मुक्तजीव,muktajiv
जन्म,janma
उपपादजन्म,upapadajanma
गर्भजन्म,garbhajanm
सम्मूर्च्छन,sammoorchchan
लिङ्ग,ling
जीवसमास,jivasamas
तिर्यञ्च,tirynch
सम्मूर्छन,sammurchan
एकेन्द्रिय,ekendriy
विकलत्रय,vikalatray
पंचेन्द्रिय,panchendriya
गर्भज,garbhaj
पंचेन्दिय,panchendiy
तिर्यंचों,tiryanchon
कर्मभूमि,karmabhoomi
भोगभूमि,bhogabhoomi
मनुष्य,manushya
नारकी,narki
देवों,devon
भवनवासी,bhavnavasi
व्यन्तरों,vyantaron
ज्योतिष्क,jyotishka
कल्पोपन्न,kalpopanna
कल्पातीत,kalpatit
पृथ्वी,prithvi
व्यन्तर,vyantar
देव,dev
वैमानिक,vamonic
अधोलोक,adholok
उर्ध्वलोक,urdhvalok
मध्यलोक,madhyalok
प्राणी,prani
मोक्ष,moksha
स्वरुप,swarup
संवर,sanvar
निर्जरा,nirjara
समयग्दर्शन,samayagdarshan
सम्यग्ज्ञान,samyaggyan
सम्यक्चारित्र,samyakcharitra
गुणस्थान,gunsthan
मिथ्यात्वगुणस्थान,mithyatvagunasthan
सासादनगुणस्थान,sasadanagunasthan
प्रथमोपशमसम्यक्त्व,prathmopshamiktv
द्वितीयोपशमसम्यक्त्व,dvitiyopashamasmyktv
सासादानगुणस्थान,sasadanagunasthan
व्युच्छित्ति,vyuchchitti
मिश्रगुणस्थान,mishragunasthan
अविरतसम्यक्त्व,avirtasmyktva
देशविरतगुणस्थान,deshaviratgunsthan
प्रमत्तगुणस्थान,pramattagunasthan
अप्रमत्तगुणस्थान,apramattagunasthan
स्वस्थान,svasthan
अप्रमत्तविरत,apramattavirat
सातिशय,satishay
श्रेणी,shreni
उपशमश्रेणी,upashamsreni
क्षपकश्रेणी,kshapakashreni
अधःकरण,adhahkaran
अपूर्वकरण,apoorvakaran
अनिवृत्तिकरण,anivrittikaran
सप्तम गुणस्थान,saptam gunsthan
